,station,latitude,longitude,elevation,depth
5509,FRG2,39.356569846,-118.636607079,1251.0810489,100.0
5510,FRG3,39.382205101,-118.706584178,1170.7900426,100.0
5511,FRG4,39.38919917,-118.697261612,1171.4266218,100.0
5512,FRG5,39.421580552,-118.710987502,1179.330405,100.0
5515,FRID,48.535223964,-123.018113052,11.3884734,46.1576239322061
5546,FSRH,49.138009534,-122.28767238,30.7487081,81.69953715297575
5565,FTRS,50.828739172,-115.200308145,2114.8099986,100.0
5567,FTS5,46.204887536,-123.956094585,-13.7124209,25.858918435931155
5568,FTS6,46.205162761,-123.956012144,-13.502428,25.859933320285045
5584,FWBD,44.291888202,-117.221641967,631.4293968,100.0
5939,GARC,40.416922733,-119.355598469,1643.8319348,100.0
5944,GARL,40.416526671,-119.35545651,1640.2272535,100.0
5947,GARR,40.625612615,-118.979286938,1738.9411398,100.0
5954,GASB,39.654707238,-122.715930528,1361.9373971,57.54379311390251
5986,GBN1,44.564578048,-121.439286546,864.9025579,82.62425156639341
5987,GBN2,44.559240795,-121.565284402,1270.7103191,79.16783456085355
5988,GBN3,44.548397508,-121.712580516,1143.5687168,75.12661297209374
5989,GBN4,44.568049096,-122.102143929,1342.4846414,65.69821788735672
5990,GBN5,44.602144864,-122.236024459,1329.3777345,62.833242520265046
5991,GBN6,44.424866691,-121.422866285,823.6670054,83.46328242676663
6019,GEIG,39.383743094,-119.701006723,1726.6937933,100.0
6030,GEND,39.089494798,-117.16189153,1791.8113701,100.0
6050,GERL,40.649808926,-119.360861254,1186.7779295,100.0
6073,GHCC,46.952586407,-123.802061375,32.3580312,28.434466277216863
6074,GHCL,46.952524853,-123.801894875,36.7717799,28.43653943387389
6101,GIRL,39.628358221,-120.005251774,1610.0198323,100.0
6132,GLDR,49.681485495,-126.127331934,-9.3548161,31.930170369827877
6140,GLNW,46.019872982,-121.288734222,567.1894501,85.27814402091464
6158,GLWD,46.019828332,-121.288607916,561.0038236,85.28316508194759
6191,GOBS,45.838818582,-120.814676296,621.475868,100.0
6217,GOLM,40.461828268,-117.600459056,1465.1820341,100.0
6219,GOLY,45.828697991,-120.802457034,500.1138156,100.0
6239,GORG,47.089014425,-119.849143713,355.8821782,100.0
6283,GRAN,40.086944418,-119.04914724,1517.3112239,100.0
6288,GRAV,41.34985894,-120.605170633,1380.1904659,100.0
6294,GRCK,48.143585664,-117.664569427,669.7549572,100.0
6324,GRMD,46.795486018,-123.022597573,30.7860815,39.522713417172774
6346,GRP4,48.194667851,-122.127286296,22.1681895,59.495252959192364
6356,GRSV,45.364413773,-120.787411791,677.4654702,100.0
6391,GTPS,42.434494011,-123.29737987,278.598589,37.762002394276514
6398,GUAN,42.015697048,-119.483016128,1884.8677799,100.0
6453,GVG1,39.048346412,-118.10234554,1855.8112241,100.0
6470,GWN5,45.782632873,-121.327562645,732.5408459,83.81476642137717
6471,GWN6,45.782628152,-121.327254467,733.2459743,83.82314235125561
6509,HAHD,47.290800632,-121.788083905,853.9850405,67.61310222780125
6519,HALF,44.872390419,-117.099829697,783.4350976,100.0
6586,HAZE,39.58682998,-119.047975839,1299.5482416,100.0
6613,HCRO,40.815917334,-121.469898745,1000.1398619,90.05122995538478
6624,HEAV,40.782814401,-120.728634413,1675.3150712,100.0
6648,HENN,39.518189494,-120.533744841,2127.8165867,100.0
6679,HGP1,47.01929383,-122.921056582,99.6412793,40.465076776487216
6749,HLSY,44.377564685,-123.109118273,71.9081816,44.84037610217075
6806,HOLB,50.640353746,-128.134996932,559.5990253,100.0
6822,HONY,40.080009117,-119.936676863,1307.3151007,100.0
6832,HORS,40.592259294,-120.495226237,1624.2836306,100.0
6837,HOTS,41.154367028,-117.474192156,1897.2954769,100.0
6873,HRPR,43.86587094,-117.607947242,760.9029756,100.0
6880,HRTM,42.246997205,-119.564166218,1735.3348865,100.0
6902,HTCH,47.191687227,-120.965926989,569.4209893,100.0
6931,HUNG,39.689289631,-119.753748915,1552.438858,100.0
6938,HUSB,44.119526303,-121.849361486,2038.3981895,73.12589489700733
6954,HW50,39.425142029,-116.757236568,1886.1129,100.0
6957,HW89,39.556265801,-120.33985394,1688.8202461,100.0
6962,HWKV,42.118249991,-119.14837919,1987.6646501,100.0
7267,IDB2,43.602477434,-116.271646843,817.4192788,100.0
7270,IDBO,43.611677456,-116.318576739,800.1509866,100.0
7272,IDCA,47.741565535,-116.796543503,684.5872875,100.0
7277,IDEM,43.864881437,-116.475469385,717.4339048,100.0
7278,IDFB,43.616551115,-116.250494094,816.7200655,100.0
7279,IDFC,47.532098446,-116.932447777,768.7713759,100.0
7280,IDFL,44.009187596,-116.916130678,666.9489988,100.0
7283,IDHD,43.908636679,-116.201965999,786.378841,100.0
7290,IDLW,46.408931786,-117.026176919,249.2528436,100.0
7291,IDM1,43.60604397,-116.386502737,786.3892227,100.0
7293,IDMH,43.137605336,-115.669654114,961.3340129,100.0
7294,IDMI,43.705929541,-116.637987417,719.6499995,100.0
7296,IDMN,43.705689182,-116.701152994,728.7348768,100.0
7298,IDMU,43.216754443,-116.551066164,848.8415275,100.0
7299,IDNA,43.582261114,-116.570041376,749.1579655,100.0
7301,IDNP,45.939709751,-116.121273883,996.6190206,100.0
7302,IDNR,43.205443869,-116.750128555,1191.0000134,100.0
7304,IDOR,43.29683294,-116.055890212,946.0845387,100.0
7308,IDPY,48.312711544,-116.545288851,641.1542547,100.0
7310,IDRO,43.72287879,-116.962476293,707.7542369,100.0
7315,IDTD,43.652942235,-116.283407456,788.6590139,100.0
7550,INV1,39.252139514,-119.970503392,1948.0239718,100.0
7557,INW1,47.714425867,-116.92979219,655.9195932,100.0
7558,INW2,48.187998109,-117.029897504,619.1988772,100.0
7655,IWAC,46.305881494,-124.039429968,-14.1741709,24.510667026288058
7657,IXLC,39.662511002,-118.186605352,1239.0231526,100.0
7674,IZZN,40.866025177,-116.844119943,1561.8475691,100.0
8654,JAKE,41.152034338,-117.06335392,1464.1582066,100.0
8661,JAMI,39.73513432,-120.722807005,1672.9935387,100.0
8710,JERS,40.277963543,-117.437746172,1500.7891883,100.0
8721,JIME,45.523118877,-122.990528503,53.0456285,43.38344817375433
8729,JKPR,46.535022252,-122.837938182,148.6503787,43.555705728254104
8758,JOBO,48.562370441,-122.437300277,-11.5256011,59.47488137755195
8777,JORD,48.43306354,-124.053857357,88.765853,32.89495163982268
8801,JRO1,46.275124507,-122.217615864,1275.5931682,58.98232795983693
8823,JUN1,43.743820397,-118.078483332,890.5969815,100.0
8826,JUNG,40.907847631,-118.411645816,1309.7290246,100.0
8827,JUNI,40.322976588,-119.068338411,1410.0922377,100.0
8873,KAHL,46.641109541,-118.557287394,258.1429926,100.0
8898,KAML,50.690153303,-120.325302835,337.5475281,100.0
8905,KANA,48.955535169,-119.436027285,266.045723,100.0
8988,KEL1,49.876223038,-119.457151937,349.7534669,100.0
8992,KELS,46.118177477,-122.896069109,-15.9383858,43.472247896524905
8999,KENI,46.19788383,-119.15863194,146.1534038,100.0
